,PID,LU,MAIL_ADDRESS,MAIL CS
40,100324000,C,371 CHELSEA ST,EAST BOSTON MA
41,100325000,RC,257 LYNN FELLS PARKWAY,SAUGUS MA
42,100326000,RC,291 BENNINGTON ST,EAST BOSTON MA
43,100327000,RC,282 BENNINGTON ST,EAST BOSTON MA
44,100329000,RC,PO BOX 504,REVERE MA
45,100330000,RC,10 RICHARDSON CIRCLE,SAUGUS MA
46,100331000,RC,10 RICHARDSON CIRCLE,SAUGUS MA
47,100332000,RC,313- 315 BENNINGTON ST,EAST BOSTON MA
48,100334000,C,TWO JERICHO PZ WING C STE 11,JERICHO NY
49,100338000,C,404 BREMEN ST ,E BOSTON MA
50,100342000,RC,282 BENNINGTON ST,E BOSTON MA
51,100348000,C,282 BENNINGTON ST,EAST BOSTON MA
52,100436003,C,89 MAPLE ST ,STONEHAM MA
53,100437000,C,P.O. BOX 320099,ALEXANDRIA VA
54,100438010,C,160 WILLIAM F MCCLELLAN HWY,EAST BOSTON MA
55,100454000,RC,101 HIGH ST,REVERE MA
56,100460000,C,1900 DALROCK RD,ROWLETT TX
57,100461000,C,1900 DALROCK RD,ROWLETT TX
58,100463000,C,20 CARPENTER RD,LYNNFIELD MA
59,100464000,RC,360 BENNINGTON ST,E BOSTON MA
60,100465000,C,23 BAYSWATER ST,E BOSTON MA
61,100467000,C,135 SUMMIT AV,CHELSEA MA
62,100468000,C,387 CHELSEA ST,E BOSTON MA
63,100469000,RC,387 CHELSEA ST,EAST BOSTON MA
64,100470000,RC,387 CHELSEA ST,EAST BOSTON MA
65,100471000,RC,387 CHELSEA ST,EAST BOSTON MA
66,100473000,RC,405 CHELSEA ST,EAST BOSTON MA
67,100474000,RC,409 CHELSEA ST,EAST BOSTON MA
68,100475000,RC,409 CHELSEA ST,EAST BOSTON MA
69,100476000,RC,411 CHELSEA ST,EAST BOSTON MA
70,100481000,C,464 BREMEN ST SUITE B-4,BOSTON MA
71,100482010,C,3 NEPTUNE STREET,EAST BOSTON MA
72,100482010,C,3 NEPTUNE STREET,EAST BOSTON MA
73,100483000,C,2 A NEPTUNE RD,EAST BOSTON MA
74,100502000,C,394 BENNINGTON ST,EAST BOSTON MA
75,100509000,C,24 JENNINGS CIRCLE EXT,W PEABODY MA
76,100520000,C,397 ASHMONT ST,DORCHESTER MA
77,100521000,C,397 ASHMONT ST,DORCHESTER MA
78,100522000,C,PO BOX 2516,FALL RIVER MA
79,100529000,RC,964  SARATOGA  ST,EAST BOSTON   MA
80,100532000,RC,956 SARATOGA,EAST BOSTON MA
81,100548003,C,830 SARATOGA,EAST BOSTON MA
82,100548100,C,224 12 TH AV C/O CP BURKE,NEW YORK NY
83,100549001,C,1000 MARKET ST BLDG #1,PORTSMOUTH NH
84,100549006,C,3520 PIEDMONT ROAD NE STE 41,ATLANTA GA
85,100557000,C,804-808 SARATOGA ST,EAST BOSTON MA
86,100592000,C,73 ADDISON ST,EAST BOSTON MA
87,100594000,C,73 ADDISON ST ,EAST BOSTON MA
88,100595000,C,73 ADDISON ST,EAST BOSTON MA
89,100597000,C,73 ADDISON ST ,EAST BOSTON MA
90,100607000,C,141 ADDISON ST,EAST BOSTON MA
91,100608000,C,143 ADDISON ST,EAST BOSTON MA
92,100610000,C,9 CRESCENT ST,WINTHROP MA
93,100749000,C,2 HUTCHINSON ST,WINTHROP MA
94,100750000,C,2 HUTCHINSON ST,WINTHROP MA
95,100808000,C,101 TREMONT ST,BOSTON MA
96,100832000,C,100 SWIFT ST,EAST BOSTON MA
97,100844000,C,17 BAKER ST,MALDEN MA
98,100845000,C,154 FAYWOOD AV,E BOSTON MA
99,100849000,C,525 BENNINGTON,EAST BOSTON MA
100,100863000,RC,563 BENNINGTON ST,EAST BOSTON MA
101,100874000,C,40 EVERETT ST,EAST BOSTON MA
102,100877000,RC,8 ADAM CIRCLE,MEDFORD MA
103,100881000,RC,579 BENNINGTON ST,EAST BOSTON MA
104,100927000,C,620 BENNINGTON ST,EAST BOSTON MA
105,100928000,C,616 BENNINGTON ST,EAST BOSTON MA
106,100937000,C,4121 CORAL TREE CI #331,COCONUT CREEK FL
107,100948000,RC,931 BENNINGTON ST,E BOSTON MA
108,100949000,C,431 FRANKFORT ST,EAST BOSTON MA
109,101068000,C,230 SALEM ST,LYNNFIELD MA
110,101070000,C,230 SALEM ST,LYNNFIELD MA
111,101081000,RC,728 BENNINGTON ST,EAST BOSTON MA
112,101234000,C,1035 SARATOGA ST,E BOSTON MA
113,101235000,C,1041-1045 SARATOGA ST,EAST BOSTON MA
114,101319000,RC,738 BENNINGTON ST #2,EAST BOSTON MA
115,101359001,C,ONE CVS DRIVE,WOONSOCKET RI
116,101359002,C,ONE CVS DRIVE,WOONSOCKET RI
117,101360000,C,1144 SARATOGA ST,EAST BOSTON MA
118,101361000,C,1140 SARATOGA,EAST BOSTON MA
119,101361001,C,2 SHAWSHEEN RD,EAST BOSTON MA
120,101393003,C,405 LEXINGTON AVE ,NEW YORK NY
121,101395000,C,1089-1091 BENNINGTON ST,EAST BOSTON MA
122,101400000,C,21 BENNINGTON ST #1,EAST BOSTON MA
123,101508000,RC,1141 SARATOGA ST,EAST BOSTON MA
124,101516000,C,493 MALDEN ST ,REVERE MA
125,101564000,RC,1216 BENNINGTON ST,EAST BOSTON MA
126,101567000,C,14 MILLET LA,SWAMPSCOTT MA
127,101582000,RC,PO BOX 365,REVERE MA
128,101583000,C,2 REGENCY RIDGE,ANDOVER MA
129,101586001,C,43 BATCHELDER ST,MELROSE MA
130,101587000,C,15 BREED ST,EAST BOSTON MA
131,101587001,C,15 BREED ST,EAST BOSTON MA
132,101620000,RC,10 OAK HILL RD,NATICK MA
133,101620001,C,1057 WINTHROP AV,REVERE MA
134,101620002,RC,19 ENFIELD RD,WINTHROP MA
135,101621000,RC,184 COTTAGE ST #1-R,BOSTON MA
136,101622000,C,980 SARATOGA ST,E BOSTON MA
137,101623000,C,915 CHESTNUT ST,NEWTON MA
138,101624000,RC,972-974 SARATOGA ST,EAST BOSTON MA
139,101629000,RC,21 FORD ST,E BOSTON MA
140,101630000,C,216 ORIENT AVE,EAST BOSTON MA
141,101633000,C,10 MERIDIAN,EAST BOSTON MA
142,101634000,C,6 BILLINGS ST,RANDOLPH MA
143,101637001,C,10 MONSON DR,PEABODY MA
144,101647000,RC,8 LINDA LANE,NAHANT MA
145,101648000,C,1225 BENNINGTON ST,EAST BOSTON MA
146,101649000,C,306 LAUREL STREET,MELROSE MA
147,101649001,C,978 BENNINGTON ST,EAST BOSTON MA
148,101650000,RC,104-18 METROPOLITAN AV,FOREST HILLS NY
149,101651000,C,440 SARAOGA ST,EAST BOSTON MA
150,101660001,C,44 SCHOOL ST - SUITE 325 ,BOSTON MA
151,101662000,C,17 STATE ST 9TH FL,NEW YORK NY
152,101664000,C,PO BOX 208,MARBLEHEAD MA
153,101666000,C,859 WILLARD ST #501,QUINCY MA
154,101666010,C,859 WILLARD ST STE 501,QUINCY MA
155,101666015,C,859 WILLARD ST STE 501,QUINCY MA
156,101666020,C,859 WILLARD ST STE 501,QUINCY MA
157,101666020,C,859 WILLARD ST STE 501,QUINCY MA
158,101667000,C,39 COUNTRY CLUB WAY,IPSWICH MA
159,101667005,C,200 WM F MCCLELLAN HWY,EAST BOSTON MA
160,101705000,C,251 LEYDEN ST,EAST BOSTON MA
161,101726000,C,1 BOARDMAN ST,EAST BOSTON MA
162,101743000,C,61 BOARDMAN ST,EAST BOSTON MA
163,101846002,C,20C DELCARMINE ST,WAKEFIELD MA
164,101895000,C,20-C DELCARMINE ST #101,WAKEFIELD MA
165,101936000,RC,1 GLADSTONE ST,EAST BOSTON MA
166,101936000,RC,1 GLADSTONE ST,EAST BOSTON MA
167,102318000,RC,44 FAYWOOD AVE,EAST BOSTON MA
168,102448000,C,89 MAPLE ST,STONEHAM MA
169,102524000,C,ONE CONGRESS ST 10TH FLR,BOSTON MA
170,102525000,RC,143 BORDER ST,EAST BOSTON MA
171,102532000,RC,299-303 MERIDIAN ST,EAST BOSTON MA
172,102593000,RC,28 EMERALD ST,NEWTON MA
173,102596000,RC,1 CURTIS STREET,EAST BOSTON MA
174,102598000,RC,17R SHORE ROAD,NORTH READING MA
175,102599000,RC,1292 COMMONWEALTH AV STE 2,BOSTON MA
176,102602000,C,320 WASHINGTON ST ,BROOKLINE MA
177,102608000,RC,306 YORK ST,CANTON MA
178,102608000,RC,306 YORK ST,CANTON MA
179,102628000,RC,1292 COMMONWEALTH AV SUITE 2,ALLSTON MA
180,102635000,RC,351 MERIDIAN ST,EAST BOSTON MA
181,102671020,RC,143 BORDER ST,EAST BOSTON MA
182,102707000,RC,PO BOX 410212,CAMBRIDGE MA
183,102714000,RC,407 MERIDIAN ST,EAST BOSTON MA
184,102749000,RC,PO BOX 493,EAST BOSTON MA
185,102845000,C,3589 LAKEVIEW DR,DELRAY BEACH FL
186,102874000,C,1216 BENNINGTON ST,EAST BOSTON MA
187,102937000,C,131 LEXINGTON ST,E BOSTON MA
188,102964000,RC,140 PRINCETON ST,E BOSTON MA
189,103016000,RC,59 MYRTLE ST,BOSTON MA
190,103099000,RC,8 ALTON PLACE STE 2B,BROOKLINE MA
191,103169000,RC,213 TRENTON ST,EAST BOSTON MA
192,103209000,RC,143 BORDER ST,E BOSTON MA
193,103210000,RC,143 BORDER ST,E BOSTON MA
194,103319000,C,5 GREEN PARK,NEWTON MA
195,103319000,C,5 GREEN PARK,NEWTON MA
196,103321000,C,190 BOSTON ST,MIDDLETON MA
197,103323000,C,22 HERITAGE LANE,SAUGUS MA
198,103324000,C,22 HERITAGE LN,SAUGUS MA
199,103326000,C,35 CANAL ST,MALDEN MA
200,103327000,C,255 CONDOR ST ,EAST BOSTON MA
201,103329000,C,255 CONDOR ST,EAST BOSTON MA
202,103330000,C,255 CONDOR ST,EAST BOSTON MA
203,103375000,C,201R SAVIN HILL AV,DORCHESTER MA
204,103378030,RC,143 BORDER ST,E BOSTON MA
205,103416000,RC,52 WHITE ST,EAST BOSTON MA
206,103416000,RC,52 WHITE ST,EAST BOSTON MA
207,103434000,RC,24 WHITE ST,EAST BOSTON MA
208,103529000,C,74 FALCON ST,E BOSTON MA
209,103555000,RC,29 2ND ST,MEDFORD MA
210,103576000,C,26 JENNIFER LANE,PEABODY MA
211,103597000,C,1295 BEACON ST #491,BROOKLINE MA
212,103620000,RC,40 EVERETT ST,EAST BOSTON MA
213,103620000,RC,40 EVERETT ST,EAST BOSTON MA
214,103631000,RC,72 MARGINAL ST,EAST BOSTON MA
215,103636000,C,11 CROCKER RD,MEDFORD MA
216,103647000,RC,72 MARGINAL ST,EAST BOSTON MA
217,103659000,C,205 WALDEN ST #5D,CAMBRIDGE MA
218,103661000,C,50 FRANKLIN ST #400,BOSTON MA
219,103663000,C,301 BORDER ST,EAST BOSTON MA
220,103664000,C,315 BORDER ST,EAST BOSTON MA
221,103667001,C,31A LINCOLN AVE,MARBLEHEAD MA
222,103667002,C,290 BROADWAY ,CHELSEA MA
223,103676001,C,1983 RICHMOND TE,STATEN ISLAND NY
224,103676001,C,1983 RICHMOND TE,STATEN ISLAND NY
225,103676001,C,1983 RICHMOND TE,STATEN ISLAND NY
226,103676001,C,1983 RICHMOND TE,STATEN ISLAND NY
227,103676001,C,1983 RICHMOND TE,STATEN ISLAND NY
228,103676001,C,1983 RICHMOND TE,STATEN ISLAND NY
229,103680000,C,800 SOUTH ST STE 200,WALTHAM MA
230,103684000,C,1222 BENNINGTON ST,EAST BOSTON MA
231,103684000,C,1222 BENNINGTON ST,EAST BOSTON MA
232,103685000,RC,84 CONDOR ST,E BOSTON MA
233,103685000,RC,84 CONDOR ST,E BOSTON MA
234,103686000,RC,84 CONDOR ST,E BOSTON MA
235,103687000,C,26 JENNIFER LANE,PEABODY MA
236,103699000,C,1222 BENNINGTON ST,EAST BOSTON MA
237,103700000,C,1222 BENNINGTON ST,EAST BOSTON MA
238,103701000,RC,84 CONDOR ST,E BOSTON MA
239,103702000,RC,84 CONDOR ST,E BOSTON MA
240,103703000,RC,84 CONDOR ST,E BOSTON MA
241,103703000,RC,84 CONDOR ST,E BOSTON MA
242,103703000,RC,84 CONDOR ST,E BOSTON MA
243,103704000,C,183 KINGS GRANT RD,WESTON MA
244,103704100,C,63 ATLANTIC AV #5-C,BOSTON MA
245,103705000,RC,1222 BENNINGTON ST,EAST BOSTON MA
246,103711006,C,1900 DALROCK RD,ROWLETT TX
247,103711010,C,1 CURTIS ST,EAST BOSTON MA
248,103720000,C,41 BAYSWATER STREET,EAST BOSTON MA
249,103771000,C,184 BREMEN ST,EAST BOSTON MA
250,103771001,C,184 BREMEN ST,EAST BOSTON MA
251,103771002,C,184 BREMEN ST,EAST BOSTON MA
252,103771003,C,184 BREMEN ST,EAST BOSTON MA
253,103783000,RC,113 CHELSEA ST,EAST BOSTON MA
254,103818000,RC,157 COLERIDGE ST,BOSTON MA
255,103824000,RC,65 CHELSEA ST,EAST BOSTON MA
256,103827000,RC,157 COLERIDGE ST,EAST BOSTON MA
257,103830000,C,66 CHELSEA ST,EAST BOSTON MA
258,103831000,RC,66 CHELSEA ST,EAST BOSTON MA
259,103837000,C,88 PUTNAM ST,EAST BOSTON MA
260,103840000,RC,124 HOWARD ST,SAUGUS MA
261,103842000,RC,33 GRAND VIEW AV,LYNN MA
262,103843000,RC,207 ENDICOTT ST,BOSTON MA
263,103847000,RC,PO BOX 1046,BROOKLINE MA
264,103859000,RC,PO BOX 1046,BROOKLINE MA
265,103868000,RC,100 MARGINAL ST ,EAST BOSTON MA
266,103869000,RC,5 BURLINGTON WOODS DRIVE,BURLINGTON MA
267,103870000,RC,146 MAVERICK ST,EAST BOSTON MA
268,103871000,RC,5 BURLINGTON WOODS DRIVE,BURLINGTON MA
269,103873000,C,ONE BURLINGTON WOODS DRIVE,BURLINGTON MA
270,103875000,RC,13 CHELSEA ST,EAST BOSTON MA
271,103892000,RC,PO BOX 1046,BROOKLINE MA
272,103893000,RC,PO BOX 1046,BROOKLINE MA
273,103908000,C,320 WASHINGTON ST STE #3FF,BROOKLINE MA
274,103913000,RC,57 ORIENT AVE,EAST BOSTON MA
275,103917005,C,156 MAVERICK ST,EAST BOSTON MA
276,103919002,C,1222 BENNINGTON ST,EAST BOSTON MA
277,103920001,C,23 BAYSWATER ST,EAST BOSTON MA
278,103951000,RC,45 CAMPBELL ST,WOBURN MA
279,103963000,C,125 ORLEANS ST,EAST BOSTON MA
280,103964000,C,125 ORLEANS ST,EAST BOSTON MA
281,103984001,RC,9 CORTLAND LN,LYNNFIELD MA
282,103985000,C,8 ALTON PL STE 2 ,BROOKLINE MA
283,103993010,C,232 MAVERICK ST,EAST BOSTON MA
284,104010000,RC,220 BOYLSTON ST #1214,BOSTON MA
285,104015000,C,220 BOYLSTON ST #1214,BOSTON MA
286,104029000,C,15 LUNAR AV,BRAINTREE MA
287,104038000,RC,85 LUBEC ST,EAST BOSTON MA
288,104041000,RC,72 MARGINAL ST,EAST BOSTON MA
289,104042000,RC,72 MARGINAL ST,EAST BOSTON MA
290,104043000,RC,72 MARGINAL ST,EAST BOSTON MA
291,104044000,RC,72 MARGINAL ST,EAST BOSTON MA
292,104045000,RC,184 COTTAGE ST,E BOSTON MA
293,104049000,RC,8 ATWOOD ST,REVERE MA
294,104057000,RC,154 COTTAGE ST,E BOSTON MA
295,104064001,C,176 WEBSTER ST #2,EAST BOSTON MA
296,104064002,RC,176 WEBSTER ST #2,EAST BOSTON MA
297,104084000,C,28 GENEVA ST,EAST BOSTON MA
298,104102000,C,14 SGT ROODE LN,MIDDLETON MA
299,104154000,C,14 SGT ROODE LA,MIDDLETON MA
300,104155000,C,14 SGT ROODE LA,MIDDLETON MA
301,104156000,C,14 SGT ROODE LA,MIDDLETON MA
302,104162000,C,40 EVERETT ST,EAST BOSTON MA
303,104196100,C,222 EVERETT ST,EAST BOSTON MA
304,104196100,C,222 EVERETT ST,EAST BOSTON MA
305,104279000,C,92 MOORE ST,EAST BOSTON MA
306,104299000,C,1216 BENNINGTON ST,E BOSTON MA
307,104373000,C,931 BENNINGTON ST,E BOSTON MA
308,104374010,C,951 BENNINGTON ST,EAST BOSTON MA
309,104375000,C,38 TURNING MILL LA,QUINCY MA
310,104376000,C,30 EMBANKEMENT RD,BOSTON MA
311,104378000,C,8 LINDA LANE,NAHANT MA
312,104380000,C,515 SUMMER ST,LYNNFIELD MA
313,104387003,C,RICE ST,EAST BOSTON MA
314,104399000,C,61 BAYSWATER,EAST BOSTON MA
315,104414000,C,2 JEFFRIES,EAST BOSTON MA
316,104415000,C,2 JEFFRIES ST BOX 444,EAST BOSTON MA
317,104420000,C,565 SUMNER,EAST BOSTON MA
318,104445000,C,256 MARGINAL ST,EAST BOSTON MA
319,104445000,C,256 MARGINAL ST,EAST BOSTON MA
320,104445000,C,256 MARGINAL ST,EAST BOSTON MA
321,104445000,C,256 MARGINAL ST,EAST BOSTON MA
322,104445000,C,256 MARGINAL ST,EAST BOSTON MA
323,104445000,C,256 MARGINAL ST,EAST BOSTON MA
324,104445000,C,256 MARGINAL ST,EAST BOSTON MA
325,104445000,C,256 MARGINAL ST,EAST BOSTON MA
326,104445000,C,256 MARGINAL ST,EAST BOSTON MA
327,104445000,C,256 MARGINAL ST,EAST BOSTON MA
328,104478000,RC,72 MARGINAL ST,E BOSTON MA
329,104479000,RC,72 MARGINAL ST,E BOSTON MA
330,104482000,RC,72 MARGINAL ST,E BOSTON MA
331,104581000,RC,142 MARGINAL ST,EAST BOSTON MA
332,104668000,C,45 LUKE ST,WRENTHAM MA
333,104785000,RC,72 MARGINAL ST,EAST BOSTON MA
334,104802000,RC,3232 FOUNDERS WAY,SAUGUS MA 
335,104803000,RC,3232 FOUNDERS WAY,SAUGUS MA
336,104804000,RC,358 SUMNER ST ,EAST BOSTON MA
337,104868000,RC,291 SUMNER ST,EAST BOSTON MA
338,104874000,RC,50 FRANKLIN ST #400,BOSTON MA
339,104880000,RC,1 ROBIN HILL RD,DANVERS MA
340,104880000,RC,1 ROBIN HILL RD,DANVERS MA
341,104881000,RC,1 ROBIN HILL RD,DANVERS MA
342,104881000,RC,1 ROBIN HILL RD,DANVERS MA
343,104889000,RC,P O BOX 981,PROVINCETOWN MA
344,104890000,C,331 SUMNER ST,EAST BOS5TON MA
345,104890001,RC,101 TREMONT ST SUITE 800J  ,BOSTON MA
346,104896000,RC,36 COTTAGE ST,EAST BOSTON MA
347,104898000,C,64 COTTAGE ST,EAST BOSTON MA
348,104900000,C,37 BAYSWATER ST,EAST BOSTON MA
349,104901000,RC,6 WHITTIER PL #3C,BOSTON MA
350,104928000,C,PO BOX 1046 (RMD MA LLC),BROOKLINE MA
351,104964000,C,100 MARGINAL ST,E BOSTON MA
352,104979010,RC,143 BORDER ST,E BOSTON MA
353,104979010,RC,143 BORDER ST,E BOSTON MA
354,104989000,RC,149 EVERETT ST,EAST BOSTON MA
355,105067000,C,199 EVERETT ST,EAST BOSTON MA
356,105087000,RC,66 CRAGMORE ROAD,NEWTON MA
357,105162000,C,389 MAVERICK ST,EAST BOSTON MA
358,105206000,C,317 MAVERICK ST,EAST BOSTON MA
359,105264000,C,14 SGT ROODE LA,MIDDLETON MA
360,105265000,C,261 MAVERICK ST,EAST BOSTON MA
361,105266000,C,222 EVERETT ST,EAST BOSTON MA
362,105269000,C,50 FRANKLIN ST STE 400,BOSTON MA
363,105281000,RC,88 COTTAGE,EAST BOSTON MA
364,105282000,RC,88 COTTAGE,EAST BOSTON MA
365,105300000,C,187 GREEN ST,JAMAICA PLAIN MA
366,105314000,C,207 MAVERICK ST,EAST BOSTON MA
367,105337000,C,25 STONECREST DR,SAUGUS MA
368,105340000,RC,50 FRANKLIN ST,BOSTON MA
369,105341000,RC,50 FRANKLIN ST,BOSTON MA
370,105342000,RC,50 FRANKLIN ST,BOSTON MA
371,105346000,C,320 MCCLELLAN HWY,EAST BOSTON MA
372,105347000,RC,5 PRINCE WY,SHARON MA
373,105347001,C,66 TUSCANO AV,REVERE MA
374,105363000,RC,10 BREMEN ST,EAST BOSTON MA
375,105364000,RC,224-236 SUNMER ST,EAST BOSTON MA
376,105364000,RC,224-236 SUNMER ST,EAST BOSTON MA
377,105365000,C,84 CALDWELL FARM RD,BYFIELD MA
378,105366001,C,16 SYLVAN RD,BEVERLY MA
379,105366002,C,5 MAVERICK SQ,EAST BOSTON MA
380,105366003,C,11 VAUGHN STREET ,CANTON MA
381,105366004,C,29 PAINE ST ,WINTHROP MA 
382,105367000,C,17 23 MAVERICK SQ,EAST BOSTON MA
383,105369000,RC,37 MAVERICK SQ,E BOSTON MA
384,105370000,RC,37 MAVERICK SQ,EAST BOSTON MA
385,105371000,RC,70 W FOSTER ST ,MELROSE MA 
386,105372000,RC,70 W FOSTER ST,MELROSE MA
387,105378000,RC,21 BARNES AVENUE,EAST BOSTON MA
388,105383000,RC,2 NEPTUNE RD #222,BOSTON MA
389,105391000,RC,20 ORLEANS ST,EAST BOSTON MA
390,105400022,RC,20 CITY SQ 2ND FL,BOSTON MA
391,105408000,RC,1477 NW EVERETT STREET,PORTLAND OR
392,105408001,RC,1477 NW EVERETT STREET,PORTLAND OR
393,105409000,RC,1477 NW EVERETT STREET,PORTLAND OR
394,105410000,RC,1477 NW EVERETT STREET,PORTLAND OR
395,105412001,C,50 FRANKLIN ST #400,BOSTON MA
396,105412002,RC,72 MARGINAL ST,EAST BOSTON MA
397,105415000,C,1222 BENNINGTON ST,EAST BOSTON MA
398,105416000,C,PO BOX 182571,COLUMBUS OH
399,105417000,RC,103 CLAYTON ST,DORCHESTER MA
400,105419000,C,160 LIVERPOOL,EAST BOSTON MA
401,105421000,C,50 FRANKLIN ST #400,BOSTON MA
402,105423000,C,129 BORDER ST &,E BOSTON MA
403,105424000,C,129 BORDER ST &,EAST BOSTON MA
404,105425000,RC,150 LIVERPOOL ST APT 7,EAST BOSTON MA
405,105426000,C,6 AUTUMN HARVEST CT,GRAFTON MA
406,105428000,RC,157 COLERIDGE ST,EAST BOSTON MA
407,105429000,C,20 HARVARD ST,WINTHROP MA
408,105430000,C,444 SUMNER ST,E BOSTON MA
409,105431000,C,444 SUMNER ST,EAST BOSTON MA
410,105432000,RC,0 WHITNEY DR,PEABODY MA
411,105433000,RC,PO BOX 14,EAST BOSTON MA
412,105434000,RC,PO BOX 14,EAST BOSTON MA
413,105435000,RC,PO BOX 14,EAST BOSTON MA
414,105436000,RC,PO BOX 14,EAST BOSTON MA
415,105437000,RC,PO BOX 14,EAST BOSTON MA
416,105462000,C,1 GATEWAY CENTER SUITE #613,NEWTON MA
417,105463000,C,PO BOX 14,EAST BOSTON MA
418,105465000,RC,110 MERIDIAN ST,E BOSTON MA
419,105466000,C,50 FRANKLIN ST #400,BOSTON MA
420,105468000,RC,100 MERIDIAN ST,EAST BOSTON MA
421,105469000,RC,100 MERIDIAN ST,EAST BOSTON MA
422,105484000,C,261 LEDYARD ST ,NEW LONDON CT
423,105485000,C,PO BOX 454 &,EAST BOSTON MA
424,105490000,RC,8 ALTON PL #2,BROOKLINE MA
425,105491000,RC,8 ALTON PL #2,BROOKLINE MA
426,105496000,RC,111 EVERETT AV - 2ND FL,CHELSEA MA
427,105553000,RC,375 BROADWAY SPC #121,LYNNFIELD MA
428,105561000,RC,PO BOX 201,QUINCY MA
429,105575000,RC,67 BRANDWINE DR,EAST BOSTON MA
430,105590100,RC,143 BORDER ST,EAST BOSTON MA
431,105602000,RC,61 SHERIDAN LA,TEWKSBURY MA
432,105610000,RC,27 WATER ST,SAUGUS MA
433,105648000,RC,382 OCEAN AVE #806,REVERE MA
434,105653000,RC,108 EUTAW ST,E BOSTON MA
435,105653020,RC,186 SUMNER ST,EAST  BOSTON MA
436,105653050,RC,182 SUMNER ST,EAST BOSTON MA
437,105656000,C,14 HOWARD ST,ROCKLAND MA
438,105658011,C,79 PARIS ST ,E BOSTON MA
439,105665000,C,36 MILLER STILE RD,QUINCY MA
440,105666000,RC,21 BARNES AV,EAST BOSTON MA
441,105667000,RC,119 MAVERICK ST,E BOSTON MA
442,105668000,RC,210 ALLANDALE RD APT 3A,CHESTNUT HILL MA
443,105669000,C,127 MAVERICK ST,EAST BOSTON MA
444,105670000,C,14758 CALUSA PALMS DR #103,FORT MYERS FL
445,105670005,C,40 MAVERICK SQ,EAST BOSTON MA
446,105670010,C,36-38 MAVERICK SQ,EAST BOSTON MA
447,105670015,C,1 SEAL HARBOR RD #916,WINTHROP MA
448,105674000,C,PO BOX 841001,BOSTON MA
449,105675000,C,10 MERIDIAN,EAST BOSTON MA
450,105676000,C,165 TREMONT ST #1303,BOSTON MA
451,105677000,C,656 MAIN ST,WATERTOWN MA
452,105678000,C,656 MAIN ST,WATERTOWN MA
453,105679000,C,3 MERIDIAN,EAST BOSTON MA
454,105680000,C,3 MERIDIAN ST,EAST BOSTON MA
455,105681000,C,3 MERIDIAN ST,EAST BOSTON MA
456,105682000,RC,9 MERIDIAN ST,EAST BOSTON MA
457,105683000,RC,111 EVERETT AVE - 2ND FL,CHELSEA MA
458,105684000,RC,429 SARATOGA ST &,EAST BOSTON MA
459,105685000,C,178 TREMONT ST,BOSTON MA
460,105686000,C,23 MERIDIAN ST,EAST BOSTON MA
461,105693000,RC,21 BENNINGTON ST #1,E BOSTON MA
