,index,Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Executive Gender,Executive Ethnicity,County,Neighborhood,SIC Code 1,SIC Code 1 Description,Primary NAICS,Primary NAICS Description,Location Employee Size Range,Location Employee Size Actual,Location Sales Volume Range,Location Sales Volume Actual,Type of Business,Location Type,Square Footage,Credit Score Alpha,Credit Score Numeric ,Rent Expenses,Latitude,Longitude,Record Type,Rent per Square Foot
17,18,2418 Club,,,24 Washington St,Dorchester,MA,2121,,Uncoded,Suffolk,Dudley-Brunswick King,864108,Clubs,813410,Civil & Social Organizations,5 to 9,5,,$0,Private,Single Loc,7499.5,I,83,37500.0,42.307753999999996,-71.082307,Verified,5.0
18,19,3 Two Mango,,,2201 Washington St # 101,Roxbury,MA,2119,,Uncoded,Suffolk,,596102,Internet & Catalog Shopping,454110,Electronic Shopping & Mail-Order Houses,100 to 249,193,$100-500 Million,"$136,361,000",Private,Single Loc,100000.0,B+,88,175000.0,42.331152,-71.083218,Verified,1.75
19,20,3-Angles,Abdikarim,Said,1420 Tremont St,Roxbury,MA,2120,Male,Middle Eastern,Suffolk,Mission Hill,546102,Bakers-Retail,311811,Retail Bakeries,5 to 9,6,"Less Than $500,000","$412,000",Private,Single Loc,7499.5,C+,76,17500.0,42.331419,-71.095961,Verified,2.33
20,21,30 Salina Rd Properties,Benjamin,Hollins,30 Salina Rd,Dorchester,MA,2122,Male,Western Europe,Suffolk,Neponset,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,3749.5,B+,86,17500.0,42.292088,-71.049288,Verified,4.67
21,22,32 Obierne Boiler,,,32 Obierne Pl,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,507420,Boilers-New & Used (Whls),423620,"Household Appls, Elctrc Hswrs/Cnsmr Elctro Whlsrs",1 to 4,4,$5-10 Million,"$7,277,000",Private,Single Loc,3749.5,B,83,17500.0,42.323397,-71.088701,Verified,4.67
22,23,38 Crispus Boiler,,,38 Crispus Attucks Pl,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,507420,Boilers-New & Used (Whls),423620,"Household Appls, Elctrc Hswrs/Cnsmr Elctro Whlsrs",1 to 4,4,$5-10 Million,"$7,277,000",Private,Single Loc,3749.5,B,83,17500.0,42.324436999999996,-71.088021,Verified,4.67
23,24,384 Warren Street LLC,Brendan,Feeney,384 Warren St,Roxbury,MA,2119,Male,Western Europe,Suffolk,Sav-Mor,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,14999.5,A,93,37500.0,42.317815,-71.08166700000001,Verified,2.5
24,25,4 Corners Market,,,345 Washington St,Dorchester,MA,2121,,Uncoded,Suffolk,Codman Square-East Codman Hill,541101,Food Markets,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,1 to 4,2,"Less Than $500,000","$384,000",Private,Single Loc,3749.5,C+,78,5000.0,42.299409000000004,-71.07396899999999,Verified,1.33
25,26,4 Corners Yoga + Wellness,,,336 Washington St,Dorchester,MA,2121,,Uncoded,Suffolk,Bowdoin North-Mount Bowdoin,799949,Yoga Instruction,611699,All Other Miscellaneous Schools & Instruction,1 to 4,1,"Less Than $500,000","$132,000",Private,Single Loc,1999.5,C,70,5000.0,42.299664,-71.073708,Verified,2.5
26,27,4 Stars Dance School,,,614 Blue Hill Ave # A,Dorchester,MA,2121,,Uncoded,Suffolk,Franklin Field North,791101,Dancing Instruction,611610,Fine Art Schools,1 to 4,3,"Less Than $500,000","$203,000",Private,Single Loc,7499.5,B+,87,75000.0,42.303139,-71.0851,Verified,10.0
27,28,419 Walnut Inc,,,419 Walnut Ave,Roxbury,MA,2119,,Uncoded,Suffolk,,651303,Apartments,531110,Lessors Of Residential Buildings & Dwellings,5 to 9,5,$2.5-5 Million,"$4,619,000",Private,Single Loc,14999.5,B+,86,175000.0,42.31297,-71.096237,Verified,11.67
28,30,45 Coffey Street LLC,,,45 Coffey St,Dorchester,MA,2122,,Uncoded,Suffolk,,651303,Apartments,531110,Lessors Of Residential Buildings & Dwellings,5 to 9,5,$2.5-5 Million,"$4,619,000",Private,Single Loc,14999.5,B+,85,75000.0,42.288666,-71.048643,Verified,5.0
29,31,48 Crispus Boiler,,,48 Crispus Attucks Pl,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,507420,Boilers-New & Used (Whls),423620,"Household Appls, Elctrc Hswrs/Cnsmr Elctro Whlsrs",1 to 4,4,$5-10 Million,"$7,277,000",Private,Single Loc,3749.5,B+,85,17500.0,42.324207,-71.087981,Verified,4.67
30,32,4star Dance Studio,,,286 Seaver St,Dorchester,MA,2121,,Uncoded,Suffolk,Washington Park,791101,Dancing Instruction,611610,Fine Art Schools,1 to 4,3,"Less Than $500,000","$203,000",Private,Single Loc,3749.5,B+,85,17500.0,42.305949,-71.08564,Verified,4.67
31,33,5-A Mt Vernon Condo Assn,,,5 Mount Vernon St # A,Dorchester,MA,2125,,Uncoded,Suffolk,,651301,Condominiums,531110,Lessors Of Residential Buildings & Dwellings,5 to 9,6,$5-10 Million,"$5,543,000",Private,Single Loc,14999.5,B+,89,75000.0,42.322465,-71.059789,Verified,5.0
32,34,50 Kitchen,,,1450 Dorchester Ave,Dorchester,MA,2122,,Uncoded,Suffolk,Fields Corner East,571211,Kitchen Cabinets & Equipment-Household,337110,Wood Kitchen Cabinet & Countertop Manufacturing,1 to 4,1,"Less Than $500,000","$310,000",Private,Single Loc,3749.5,C,70,17500.0,42.301177,-71.059751,Verified,4.67
33,35,520 Geneva Clothing,Teanna,Mack,520 Geneva Ave,Dorchester,MA,2122,Female,Western Europe,Suffolk,Fields Corner West,565101,Clothing-Retail,448140,Family Clothing Stores,10 to 19,10,$1-2.5 Million,"$1,996,000",Private,Single Loc,29999.5,B+,86,75000.0,42.298363,-71.06282,Verified,2.5
34,36,55 Rockland,,,55 Rockland St,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,3749.5,A,93,17500.0,42.32298,-71.086691,Verified,4.67
35,37,556 Riverside Market,Claudine,Allen,556 River St,Mattapan,MA,2126,Female,Western Europe,Suffolk,Mattapan Square,541103,Convenience Stores,445120,Convenience Stores,1 to 4,2,"Less Than $500,000","$384,000",Private,Single Loc,1999.5,C+,75,5000.0,42.266627,-71.096021,Verified,2.5
36,38,59 Pleasant Street Homeowners,Karibeth,Mohan,59 Pleasant St,Dorchester,MA,2125,Female,Western Europe,Suffolk,,861102,Associations,813910,Business Associations,5 to 9,6,,$0,Private,Single Loc,3749.5,I,76,17500.0,42.314985,-71.060222,Verified,4.67
37,39,5x Basketball League Inc,Tanya,Word,38 Abbotsford St,Dorchester,MA,2121,Female,Western Europe,Suffolk,,794103,Basketball Clubs,711211,Sports Teams & Clubs,10 to 19,10,$2.5-5 Million,"$3,476,000",Private,Single Loc,7499.5,C+,79,37500.0,42.314514,-71.09184499999999,Verified,5.0
38,40,60 + Veterans Group,Alfred,Davis,160 Warren St,Roxbury,MA,2119,Male,Western Europe,Suffolk,Sav-Mor,864102,Veterans' & Military Organizations,813410,Civil & Social Organizations,1 to 4,3,,$0,Private,Single Loc,1999.5,I,76,17500.0,42.325363,-71.08289,Verified,8.75
39,41,60 Crispus Boiler,,,60 Crispus Attucks Pl,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,171118,Boilers-Repairing & Cleaning,238220,Plumbing Htg & Air-Conditioning Contractors,1 to 4,3,"$500,000-1 Million","$643,000",Private,Single Loc,750.0,B,83,5000.0,42.324174,-71.08825999999999,Verified,6.67
40,42,604-606 Freeport St Condo Trst,,,606 Freeport St,Dorchester,MA,2122,,Uncoded,Suffolk,Neponset,651301,Condominiums,531110,Lessors Of Residential Buildings & Dwellings,5 to 9,6,$5-10 Million,"$5,543,000",Private,Single Loc,14999.5,B+,86,175000.0,42.290787,-71.047986,Verified,11.67
41,43,617-Taxicab Inc,,,175 William F Mcclellan Hwy,East Boston,MA,2128,,Uncoded,Suffolk,Harbor View-Orient Heights,412101,Taxicabs & Transportation Service,485310,Taxi Service,10 to 19,12,"$500,000-1 Million","$807,000",Private,Single Loc,69999.5,B+,86,37500.0,42.386221,-71.01860500000001,Verified,0.54
42,44,672 Tremont Street Realty,,,151 Neponset Ave,Dorchester,MA,2122,,Uncoded,Suffolk,Neponset,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,3749.5,B+,88,37500.0,42.293261,-71.05123499999999,Verified,10.0
43,45,7-Eleven,Ibrahim,Abboud,1420 Dorchester Ave,Dorchester,MA,2122,Male,Middle Eastern,Suffolk,Fields Corner East,541103,Convenience Stores,445120,Convenience Stores,5 to 9,8,$1-2.5 Million,"$1,535,000",Private,Single Loc,3749.5,A,91,37500.0,42.30247,-71.05935500000001,Verified,10.0
44,46,7-Eleven,,,1576 Dorchester Ave,Dorchester,MA,2122,,Uncoded,Suffolk,Fields Corner East,541103,Convenience Stores,445120,Convenience Stores,5 to 9,7,$1-2.5 Million,"$1,343,000",Private,Branch,3749.5,B,80,17500.0,42.297104,-71.060487,Verified,4.67
45,47,7-Eleven,Ounnabi,Hassan,187 E Cottage St,Dorchester,MA,2125,Male,Middle Eastern,Suffolk,Uphams Corner-Jones Hill,541103,Convenience Stores,445120,Convenience Stores,5 to 9,7,$1-2.5 Million,"$1,343,000",Private,Branch,3749.5,A,93,17500.0,42.319941,-71.061252,Verified,4.67
46,48,7-Eleven,,,1886 Dorchester Ave,Dorchester,MA,2124,,Uncoded,Suffolk,Ashmont,541103,Convenience Stores,445120,Convenience Stores,5 to 9,7,$1-2.5 Million,"$1,343,000",Private,Branch,3749.5,B,83,5000.0,42.286408,-71.063852,Verified,1.33
47,49,7-Eleven,,,320 Neponset Ave,Dorchester,MA,2122,,Uncoded,Suffolk,Neponset,541103,Convenience Stores,445120,Convenience Stores,5 to 9,7,$1-2.5 Million,"$1,343,000",Private,Branch,3749.5,A,90,17500.0,42.288664000000004,-71.047039,Verified,4.67
48,50,7-Eleven,,,730 William T Morrissey Blvd,Dorchester,MA,2122,,,Suffolk,Neponset,541103,Convenience Stores,445120,Convenience Stores,5 to 9,8,$1-2.5 Million,"$1,535,000",Private,Branch,3749.5,A,93,37500.0,42.296543,-71.04791999999999,Verified,10.0
49,51,7-Eleven,,,14 Maverick Sq,East Boston,MA,2128,,Uncoded,Suffolk,,541103,Convenience Stores,445120,Convenience Stores,5 to 9,7,$1-2.5 Million,"$1,343,000",Private,Single Loc,7499.5,B,81,17500.0,42.369406,-71.039822,Verified,2.33
50,52,70 Bremen LLC,,,28 Chelsea St,East Boston,MA,2128,,Uncoded,Suffolk,Jeffries Point,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,7499.5,A,90,5000.0,42.370803,-71.03801,Verified,0.67
51,54,75 Amory Ave Apartments,Crystal,Gleason,75 Amory St,Roxbury,MA,2119,Female,Western Europe,Suffolk,Egleston Square,651303,Apartments,531110,Lessors Of Residential Buildings & Dwellings,5 to 9,5,$2.5-5 Million,"$4,619,000",Private,Single Loc,29999.5,B,83,37500.0,42.320678,-71.099726,Verified,1.25
52,55,8 Newcomb Street Realty Trust,,,8 Newcomb St,Roxbury,MA,2118,,Uncoded,Suffolk,Lower Roxbury,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,3749.5,A+,95,37500.0,42.334215,-71.078959,Verified,10.0
53,56,826 Boston,Kevin,Whalen,3035 Washington St,Roxbury,MA,2119,Male,Western Europe,Suffolk,Washington Park,839919,Charitable Institutions,813311,Human Rights Organizations,5 to 9,5,,$0,Private,Single Loc,7499.5,I,85,37500.0,42.316581,-71.097602,Verified,5.0
54,57,86 Crispus Boiler,,,86 Crispus Attucks Pl,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,507420,Boilers-New & Used (Whls),423620,"Household Appls, Elctrc Hswrs/Cnsmr Elctro Whlsrs",1 to 4,4,$5-10 Million,"$7,277,000",Private,Single Loc,3749.5,B+,85,75000.0,42.323737,-71.088311,Verified,20.0
55,58,950 Dorchester Ave LLC,,,950 Dorchester Ave,Dorchester,MA,2125,,Uncoded,Suffolk,Columbia Point,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,7499.5,A,94,37500.0,42.318103,-71.05618100000001,Verified,5.0
56,60,99 Cents Store,,,770 Dudley St,Dorchester,MA,2125,,Uncoded,Suffolk,Uphams Corner-Jones Hill,571216,Furniture-Dealers-Retail,442110,Furniture Stores,1 to 4,2,"$500,000-1 Million","$619,000",Private,Single Loc,3749.5,B,83,17500.0,42.317699,-71.06593199999999,Verified,4.67
57,62,A & B Discount Fuel,Bill,Burke,11 Neponset Ave,Dorchester,MA,2122,Male,Western Europe,Suffolk,,517206,Oils-Fuel (Whls),424720,Other Petroleum Merchant Wholesale,1 to 4,2,$20-50 Million,"$39,937,000",Private,Single Loc,1999.5,B,80,5000.0,42.296991,-71.05770600000001,Verified,2.5
58,63,A & B Landscape,,,206 Norfolk St,Dorchester,MA,2124,,Uncoded,Suffolk,West Codman Hill-West Lower Mills,78206,Lawn & Grounds Maintenance,561730,Landscaping Services,5 to 9,5,"Less Than $500,000","$387,000",Private,Single Loc,1999.5,B,80,5000.0,42.285557,-71.08004,Verified,2.5
59,64,A & C Liquors Inc,Andrew,Chong,542 River St # A,Mattapan,MA,2126,Male,Far Eastern,Suffolk,Mattapan Square,592102,Liquors-Retail,445310,"Beer, Wine & Liquor Stores",1 to 4,3,"$500,000-1 Million","$783,000",Private,Single Loc,750.0,B+,88,17500.0,42.266977000000004,-71.09481099999999,Verified,23.33
60,65,A & E Construction Inc,Adan A,Zuniga Tobar,117 Orleans St # 1f,East Boston,MA,2128,Male,Hispanic,Suffolk,Jeffries Point,152144,Construction Companies,236115,New Single-Family Hsng Constr (Exc For-Sale Bldrs),5 to 9,5,$2.5-5 Million,"$2,986,000",Private,Single Loc,1999.5,C+,78,5000.0,42.369888,-71.036211,Verified,2.5
61,66,A & F Used Auto Sales,Frantz,Volcy,215 Talbot Ave,Dorchester,MA,2124,Male,Western Europe,Suffolk,Franklin Field South,551103,Automobile Dealers-Used Cars,441120,Used Car Dealers,1 to 4,3,$1-2.5 Million,"$1,659,000",Private,Single Loc,3749.5,C+,75,17500.0,42.291628,-71.077545,Verified,4.67
62,67,A & G Auto Tech,,,240 Quincy St,Dorchester,MA,2121,,Uncoded,Suffolk,Dudley-Brunswick King,753801,Automobile Repairing & Service,811111,General Automotive Repair,1 to 4,2,"Less Than $500,000","$269,000",Private,Single Loc,1999.5,C+,78,17500.0,42.312368,-71.072927,Verified,8.75
63,70,A & P Woodworking Inc,Peter,Di Placido,136 Bennington St,East Boston,MA,2128,Male,Mediterranean,Suffolk,Central Maverick Square-Paris Street,175106,Woodworkers,238350,Finish Carpentry Contractors,1 to 4,1,"Less Than $500,000","$215,000",Private,Single Loc,750.0,C+,76,5000.0,42.376824,-71.034257,Verified,6.67
64,71,A & S House Painting,,,52 Walnut St,Dorchester,MA,2122,,Uncoded,Suffolk,Neponset,172101,Painters,238320,Painting & Wall Covering Contractors,5 to 9,5,$1-2.5 Million,"$1,072,000",Private,Single Loc,1999.5,A,90,5000.0,42.286837,-71.04118100000001,Verified,2.5
65,72,A & Y Auto Body,,,185 New England Ave,Dorchester,MA,2124,,Uncoded,Suffolk,Franklin Field South,753201,Automobile Body-Repairing & Painting,811121,"Automotive Body, Paint & Interior Repair/Maint",1 to 4,4,"$500,000-1 Million","$660,000",Private,Single Loc,1999.5,B+,86,37500.0,42.28869,-71.07817299999999,Verified,18.75
66,73,A 2 Z Contempo,Annette,Davis-Pontoon,251 Normandy St,Dorchester,MA,2121,Female,Western Europe,Suffolk,,594409,Jewelers-Retail,448310,Jewelry Stores,1 to 4,2,"$500,000-1 Million","$868,000",Private,Single Loc,1999.5,C+,76,5000.0,42.304572,-71.08382399999999,Verified,2.5
67,74,A A A Grocery Corp,Alexis,Cruz,181 Washington St,Dorchester,MA,2121,Female,Hispanic,Suffolk,Dudley-Brunswick King,541105,Grocers-Retail,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,1 to 4,2,"Less Than $500,000","$384,000",Private,Single Loc,3749.5,C+,76,5000.0,42.303395,-71.078773,Verified,1.33
68,75,A Childs View Preschool,Joe,Mccarthy,60 Pleasant St,Dorchester,MA,2125,Male,Western Europe,Suffolk,Columbia Point,835101,Child Care Service,624410,Child Day Care Services,10 to 19,10,"Less Than $500,000","$297,000",Private,Single Loc,3749.5,A,92,17500.0,42.314518,-71.059988,Verified,4.67
69,77,A D A Trans,Stialbyn,Davis,19 Schuyler St,Dorchester,MA,2121,Female,Western Europe,Suffolk,,421205,Delivery Service,484110,"General Freight Trucking, Local",5 to 9,5,"$500,000-1 Million","$912,000",Private,Single Loc,3749.5,C+,76,17500.0,42.308512,-71.0854,Verified,4.67
70,78,A Good Piece Of Glass,,,41 Hartford St,Dorchester,MA,2125,,Uncoded,Suffolk,Dudley-Brunswick King,523103,Glass-Stained & Leaded,444190,Other Building Material Dealers,1 to 4,3,$1-2.5 Million,"$1,486,000",Private,Single Loc,1999.5,B+,88,5000.0,42.315533,-71.073183,Verified,2.5
71,79,A Good Thing,E,Miles,578 Warren St,Dorchester,MA,2121,Female,Western Europe,Suffolk,Sav-Mor,641112,Insurance,524210,Insurance Agencies & Brokerages,1 to 4,1,"Less Than $500,000","$226,000",Private,Single Loc,1999.5,B+,85,5000.0,42.311428,-71.082755,Verified,2.5
72,80,A J E Cleaning Solutions,Aldane,Edwards,41 Rosewood St,Mattapan,MA,2126,,Western Europe,Suffolk,,734915,Cleaning Services-Industrial,238990,All Other Specialty Trade Contractors,1 to 4,2,"Less Than $500,000","$265,000",Private,Single Loc,1999.5,C,70,5000.0,42.267984999999996,-71.098321,Verified,2.5
73,81,A J's Apollos Market,Andre,Montero,918 Morton St,Mattapan,MA,2126,Male,Hispanic,Suffolk,Franklin Field South,541105,Grocers-Retail,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,1 to 4,1,"Less Than $500,000","$192,000",Private,Single Loc,1999.5,C+,79,5000.0,42.280716,-71.083051,Verified,2.5
74,82,A L W Hock Constr Excavtg,L W,Hock,84 Tenean St,Dorchester,MA,2122,,Western Europe,Suffolk,Neponset,179403,Excavating Contractors,238910,Site Preparation Contractors,20 to 49,20,$2.5-5 Million,"$4,287,000",Private,Single Loc,14999.5,A+,96,75000.0,42.292547,-71.045388,Verified,5.0
75,84,A Nubian Notion Inc,Jacob C,Abdal-Khallaq,146 Dudley St,Roxbury,MA,2119,Male,Middle Eastern,Suffolk,Lower Roxbury,594712,Gift Shops,453220,"Gift, Novelty & Souvenir Stores",10 to 19,12,$1-2.5 Million,"$1,343,000",Private,Single Loc,14999.5,A,93,75000.0,42.328751000000004,-71.08364300000001,Verified,5.0
76,85,A Nubian Notion Inc,Jacob,Abdal,57 Warren St,Roxbury,MA,2119,Male,Middle Eastern,Suffolk,Lower Roxbury,594712,Gift Shops,453220,"Gift, Novelty & Souvenir Stores",1 to 4,3,"Less Than $500,000","$336,000",Private,Single Loc,1999.5,B,83,17500.0,42.328947,-71.083621,Verified,8.75
77,87,A Plus Computer Svc & Sales,Olti,Gjura,176 Neponset Ave,Dorchester,MA,2122,Male,Uncoded,Suffolk,Neponset,737801,Computers-Service & Repair,811212,Computer & Office Machine Repair & Maintenance,1 to 4,1,"Less Than $500,000","$73,000",Private,Single Loc,750.0,B,81,5000.0,42.292797,-71.05040100000001,Verified,6.67
78,88,A R S Heating & Air Cond Svc,,,199 Bowdoin St,Dorchester,MA,2122,,Uncoded,Suffolk,Meeting House Hill,171102,Heating Contractors,238220,Plumbing Htg & Air-Conditioning Contractors,5 to 9,7,$1-2.5 Million,"$1,501,000",Private,Single Loc,3749.5,B,80,37500.0,42.305089,-71.068187,Verified,10.0
79,89,A S A Gernal Contractor,Andrew,Purcell,9 Babson St,Mattapan,MA,2126,Male,Western Europe,Suffolk,Wellington Hill,152103,General Contractors,236115,New Single-Family Hsng Constr (Exc For-Sale Bldrs),5 to 9,5,$2.5-5 Million,"$2,986,000",Private,Single Loc,1999.5,C+,78,5000.0,42.276454,-71.09306099999999,Verified,2.5
80,90,A S Construction,Alfredo,Spencer,43 Maywood St,Roxbury,MA,2119,Male,Western Europe,Suffolk,Sav-Mor,152144,Construction Companies,236115,New Single-Family Hsng Constr (Exc For-Sale Bldrs),5 to 9,5,$2.5-5 Million,"$2,986,000",Private,Single Loc,1999.5,C+,78,5000.0,42.316559999999996,-71.079683,Verified,2.5
81,91,A T I Financial Svc,Thuylinh,Doan,184 Neponset Ave,Dorchester,MA,2122,Female,Far Eastern,Suffolk,Neponset,729102,Tax Return Transmission-Electronic,541213,Tax Preparation Services,1 to 4,2,"Less Than $500,000","$60,000",Private,Single Loc,1999.5,B,81,5000.0,42.292508000000005,-71.05033900000001,Verified,2.5
82,92,A To Z Auto Repair,George,Kazamh,24 Shetland St,Roxbury,MA,2119,Male,Uncoded,Suffolk,Dudley-Brunswick King,753801,Automobile Repairing & Service,811111,General Automotive Repair,1 to 4,4,"$500,000-1 Million","$537,000",Private,Single Loc,1999.5,B+,88,17500.0,42.325336,-71.067897,Verified,8.75
