Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Credit Score Alpha,Executive Gender,Executive Title,Fax Number Combined,IUSA Number,Location Employee Size Range,Location Sales Volume Range,Phone Number Combined,Primary SIC Code,Primary SIC Description,SIC Code 1,SIC Code 1 Description,Record Type
Allstate Insurance,,,1377 Dorchester Ave,Dorchester,MA,2122,B+,,,,71-701-2786,1 to 4,"$500,000-1 Million",(857) 271-3711,641112,Insurance,641112,Insurance,Closed/Out of Business
Allstate Insurance,Joseph,Abner,571 Dudley St # A,Dorchester,MA,2125,B+,Male,President,,70-741-6035,1 to 4,"$500,000-1 Million",(617) 442-9490,641112,Insurance,641112,Insurance,Closed/Out of Business
"Alt, Elizabeth N MD",Elizabeth N,Alt,632 Blue Hill Ave,Dorchester,MA,2121,B+,Female,,6178252153,70-794-2277,1 to 4,"$500,000-1 Million",(617) 822-5500,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Alttech,,,50 Redfield St,Dorchester,MA,2122,U,,,,71-340-6840,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Alvarado's Family Market,Maritza,Rosa,1512 Dorchester Ave,Dorchester,MA,2122,C,Female,Manager,,72-510-1347,1 to 4,"Less Than $500,000",Not Available,541101,Food Markets,541101,Food Markets,Closed/Out of Business
Ambro Academy,,,49 Alpine St,Roxbury,MA,2119,I,,,,41-836-7702,1 to 4,,(617) 442-2644,821103,Schools,821103,Schools,Closed/Out of Business
American Airlines Federal Cu,Daniel,Soll,1 Harborside Dr,East Boston,MA,2128,B+,Male,Manager,,70-061-1675,5 to 9,$1-2.5 Million,(617) 561-0496,606101,Credit Unions,606101,Credit Unions,Closed/Out of Business
Ames Convention & Visit,,,3025 Washington St,Roxbury,MA,2119,U,,,,71-344-3088,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
"Anderson, Jennifer G Np",Jennifer G,Anderson,398 Neponset Ave,Dorchester,MA,2122,B+,Female,,,40-327-2981,1 to 4,"Less Than $500,000",(617) 282-3200,804907,Nurses-Practitioners,804907,Nurses-Practitioners,Closed/Out of Business
Aney Bangla Grocery,,,542 Washington St,Dorchester,MA,2124,C+,,,,71-556-4470,1 to 4,"Less Than $500,000",(617) 297-5538,541105,Grocers-Retail,541105,Grocers-Retail,Closed/Out of Business
Angel's Car Svc,,,246 Warren St # 409,Roxbury,MA,2119,C+,,,,40-953-9429,1 to 4,"Less Than $500,000",(617) 427-8109,899999,Services NEC,899999,Services NEC,Closed/Out of Business
"Angelos, Dwyla J",Dwyla J,Angelos,55 Dimock St,Roxbury,MA,2119,B+,,,,40-120-6510,1 to 4,"Less Than $500,000",(617) 442-8800,832204,Counselors-Licensed Professional,832204,Counselors-Licensed Professional,Closed/Out of Business
Anna Manning,Anna,Manning,35 Harbor Point Blvd,Dorchester,MA,2125,B,Female,Owner,,40-772-3812,1 to 4,"Less Than $500,000",(617) 288-9111,594712,Gift Shops,594712,Gift Shops,Closed/Out of Business
Annans Family Daycare,,,59 Barry St,Dorchester,MA,2125,A,,,,67-233-2897,10 to 19,"Less Than $500,000",(617) 288-1120,835101,Child Care Service,835101,Child Care Service,Closed/Out of Business
"Annese, Mark",Mark,Annese,516 Blue Hill Ave,Dorchester,MA,2121,U,Male,,,70-282-5876,,,(781) 248-0446,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Anointed Church,,,1281 Dorchester Ave,Dorchester,MA,2122,I,,,,42-346-5945,1 to 4,,(617) 288-8866,866107,Churches,866107,Churches,Closed/Out of Business
Application Services,,,21 South Munroe Ter,Dorchester,MA,2122,C+,,,,71-343-0682,1 to 4,"Less Than $500,000",Not Available,899999,Services NEC,899999,Services NEC,Closed/Out of Business
Araujo Computers,Jose,Araujo,124 Shirley St # 2,Roxbury,MA,2119,C+,Male,Manager,,40-771-6402,1 to 4,"Less Than $500,000",(617) 445-3348,899999,Services NEC,899999,Services NEC,Closed/Out of Business
Arlean's Family Day Care,Arlean,Ashman,39 Dacia St,Dorchester,MA,2125,B,Female,Owner,,40-031-8729,1 to 4,"Less Than $500,000",(617) 427-1885,835101,Child Care Service,835101,Child Care Service,Closed/Out of Business
"Armstrong, Franklin",Franklin,Armstrong,,Roxbury,MA,2119,B+,Male,,,43-833-3680,5 to 9,$1-2.5 Million,(617) 541-1451,736103,Employment Agencies & Opportunities,736103,Employment Agencies & Opportunities,Closed/Out of Business
Artistic Alternative,,,32 Arbroth St,Dorchester,MA,2122,U,,,,41-342-7848,,,(617) 282-7660,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Ashley Stewart,,,1621 Blue Hill Ave,Mattapan,MA,2126,B+,,,,66-342-5734,5 to 9,$1-2.5 Million,(617) 296-2132,562101,Women's Apparel-Retail,562101,Women's Apparel-Retail,Closed/Out of Business
Ashley's Breakfast Shop,Marilyn,Edmund,260 Bowdoin St,Dorchester,MA,2122,A,Female,Owner,,46-559-0263,1 to 4,"$500,000-1 Million",(617) 436-1577,701107,Bed & Breakfast Accommodations,701107,Bed & Breakfast Accommodations,Closed/Out of Business
Ashmont Realty II,Humayun,Morshed,235 Bowdoin St,Dorchester,MA,2122,A,Male,Manager,,66-344-9999,5 to 9,"$500,000-1 Million",(617) 436-8161,653118,Real Estate,653118,Real Estate,Closed/Out of Business
Ashmont Tire Svc,,,1961 Dorchester Ave,Dorchester,MA,2124,C+,,,,73-635-6958,1 to 4,"$500,000-1 Million",(617) 825-2405,553123,Tire-Dealers-Retail,553123,Tire-Dealers-Retail,Closed/Out of Business
"Ashmont, Tod",Tod,Ashmont,,Dorchester,MA,2122,B+,Male,,,40-772-3750,5 to 9,$2.5-5 Million,(617) 265-5800,651303,Apartments,651303,Apartments,Closed/Out of Business
Asian Too Express,Mindy,Li,108 Terminal B,East Boston,MA,2128,A,Female,Manager,6175617181,61-574-7599,5 to 9,"Less Than $500,000",(617) 561-7180,581208,Restaurants,581208,Restaurants,Closed/Out of Business
Asian Wholesale,,,1392 Dorchester Ave,Dorchester,MA,2122,B+,,,,42-239-1378,5 to 9,$10-20 Million,(617) 506-8790,509223,Wholesalers,509223,Wholesalers,Closed/Out of Business
Associated Early Care & Edctn,,,11 Mount Pleasant Ave,Roxbury,MA,2119,A+,,,6174270007,10-729-1536,10 to 19,"Less Than $500,000",(617) 427-4300,835101,Child Care Service,835101,Child Care Service,Closed/Out of Business
At The Cross Publishing,,,20 Copeland St,Roxbury,MA,2119,I,,,,41-106-8381,1 to 4,,(617) 442-0507,866107,Churches,866107,Churches,Closed/Out of Business
Atlantic Fashions,Anthony,Coplin,35 Julian St,Dorchester,MA,2125,U,Male,Principal,,40-772-5546,,,(617) 427-0998,562101,Women's Apparel-Retail,562101,Women's Apparel-Retail,Closed/Out of Business
Atlantic Shipping Co Inc,Manyal,Cabral,65 E Cottage St,Dorchester,MA,2125,C+,Male,Manager,5086721869,56-473-8714,1 to 4,"Less Than $500,000",(617) 287-2803,473104,Freight-Forwarding,473104,Freight-Forwarding,Closed/Out of Business
Au Bon Pain,Parzinder,Narula,240 Mount Vernon St,Dorchester,MA,2125,A,Male,Site Manager,,37-690-9875,5 to 9,"$500,000-1 Million",(617) 822-3600,581208,Restaurants,581208,Restaurants,Closed/Out of Business
Au Bon Pain,Ian,Donnelly,1 Harborside Dr # 31,East Boston,MA,2128,A+,Male,Site Manager,,59-395-0066,20 to 49,$1-2.5 Million,(617) 561-9799,581208,Restaurants,581208,Restaurants,Closed/Out of Business
Au Bon Pain,,,200 Logan Airport,East Boston,MA,2128,A,,,,41-803-6702,10 to 19,$1-2.5 Million,(617) 561-0555,581208,Restaurants,581208,Restaurants,Closed/Out of Business
Avenue,,,510 Geneva Ave,Dorchester,MA,2122,B+,,,,70-070-1128,5 to 9,$1-2.5 Million,(617) 288-9723,562101,Women's Apparel-Retail,562101,Women's Apparel-Retail,Closed/Out of Business
Avenue Auto Glass,Aundrea,Worthington,381 Geneva Ave,Dorchester,MA,2122,B+,Female,Manager,,70-061-0354,1 to 4,"$500,000-1 Million",(617) 600-4036,753602,Automobile Glass-Service & Installation,753602,Automobile Glass-Service & Installation,Closed/Out of Business
Bain Capital LLC,,,204 Marion St,East Boston,MA,2128,U,,,,71-348-7439,,,(617) 516-2010,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Bank Of America,Spencer,Day,150 Mount Vernon St,Dorchester,MA,2125,A+,Male,Senior VP,,71-343-5831,50 to 99,$10-20 Million,(617) 740-2850,602101,Banks,602101,Banks,Closed/Out of Business
Bank Of America,,,555 Columbia Rd,Dorchester,MA,2125,A+,,,6174748586,59-395-4480,10 to 19,$2.5-5 Million,(617) 822-6981,602101,Banks,602101,Banks,Closed/Out of Business
Bank Of America,,,3060 Washington St,Roxbury,MA,2119,A+,,,,41-699-6264,5 to 9,$1-2.5 Million,(617) 346-4124,602101,Banks,602101,Banks,Closed/Out of Business
Bank Of America Atm,,,555 Columbia Rd,Dorchester,MA,2125,U,,,,43-351-8129,,,Not Available,602103,Automated Teller Machines,602103,Automated Teller Machines,Closed/Out of Business
"Barclay-Wint, Novelet",Novelet,Barclay-Wint,520 Dudley St,Roxbury,MA,2119,B,Female,,,70-750-3460,1 to 4,"Less Than $500,000",(617) 989-9499,832282,Counselors,832282,Counselors,Closed/Out of Business
Barletta Heavy Div,,,82 Crescent Ave,Dorchester,MA,2125,B+,,,,42-168-5737,5 to 9,$1-2.5 Million,(617) 533-7162,874104,Construction Management,874104,Construction Management,Closed/Out of Business
Bay Cove Early Intervention,Susan,Cronin,105 Victory Rd,Dorchester,MA,2122,B+,Female,,6173713044,40-088-4273,1 to 4,"Less Than $500,000",(617) 371-3010,804922,Psychologists,804922,Psychologists,Closed/Out of Business
Belowsealevel,,,1 Monmouth Sq,East Boston,MA,2128,U,,,,71-346-4230,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Bennington Street Cemetery,,,Bennington St,East Boston,MA,2128,I,,,6176357367,40-935-1045,10 to 19,$1-2.5 Million,(617) 635-7361,655302,Cemeteries,655302,Cemeteries,Closed/Out of Business
"Benoit, Adzele",Adzele,Benoit,520 Dudley St,Roxbury,MA,2119,B,Female,,,70-750-5338,1 to 4,"Less Than $500,000",(617) 989-9499,832221,Social Workers,832221,Social Workers,Closed/Out of Business
Bentley Advisors,,,404 Neponset Ave,Dorchester,MA,2122,A,,,,41-727-2833,5 to 9,"$500,000-1 Million",(617) 777-3649,653118,Real Estate,653118,Real Estate,Closed/Out of Business
"Bernier, Berthlyn M",Berthlyn M,Bernier,184 Dudley St,Roxbury,MA,2119,B,,,,70-795-2931,1 to 4,"Less Than $500,000",(617) 442-2002,832221,Social Workers,832221,Social Workers,Closed/Out of Business
Best Liquors,Rodney,Chance,1088 Dorchester Ave,Dorchester,MA,2125,B,Male,Owner,6172821756,56-473-8003,1 to 4,"$500,000-1 Million",(617) 282-1347,592102,Liquors-Retail,592102,Liquors-Retail,Closed/Out of Business
Best Loubrou Bus Connection,,,879 Blue Hill Ave,Dorchester,MA,2124,U,,,,73-080-2863,,,(617) 282-1500,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Bill Plumber,Bill,Dobbyn,105 River St,Mattapan,MA,2126,B,Male,Owner,,40-771-8540,1 to 4,"$500,000-1 Million",(617) 296-0297,171105,Plumbing Contractors,171105,Plumbing Contractors,Closed/Out of Business
Bill The Plumber,Bill D,Plumber,105 River St,Mattapan,MA,2126,B,Male,,,41-108-0266,1 to 4,"$500,000-1 Million",(617) 296-0297,171105,Plumbing Contractors,171105,Plumbing Contractors,Closed/Out of Business
Blackriver Constables,Thomas R,Martin,90 Freeport St,Dorchester,MA,2122,C+,Male,Owner,,41-676-9177,1 to 4,"Less Than $500,000",(617) 201-7602,738115,Constables,738115,Constables,Closed/Out of Business
BLOCKBUSTER Video,Bill,Centers,711 William T Morrissey Blvd,Dorchester,MA,2122,C+,Male,Manager,,42-386-5515,1 to 4,"Less Than $500,000",(617) 282-5511,784102,Video Tapes & Discs-Renting & Leasing,784102,Video Tapes & Discs-Renting & Leasing,Closed/Out of Business
Blockbuster Video,Ann Marie,Nofi,719 William T Morrissey Blvd,Dorchester,MA,2122,B+,Female,Manager,,40-009-5899,5 to 9,"$500,000-1 Million",(617) 282-5511,784102,Video Tapes & Discs-Renting & Leasing,784102,Video Tapes & Discs-Renting & Leasing,Closed/Out of Business
BLOCKBUSTER Video,Fred,Stamford,184 Border St,East Boston,MA,2128,B+,Male,Site Manager,,85-396-4872,10 to 19,"$500,000-1 Million",(617) 561-6053,784102,Video Tapes & Discs-Renting & Leasing,784102,Video Tapes & Discs-Renting & Leasing,Closed/Out of Business
"Bogard, Betty M Np",Betty M,Bogard,1575 Blue Hill Ave,Mattapan,MA,2126,B+,Female,,,40-095-1536,1 to 4,"Less Than $500,000",(617) 898-9045,804907,Nurses-Practitioners,804907,Nurses-Practitioners,Closed/Out of Business
Boost Mobile,John,Cardoso,24 Hancock St,Dorchester,MA,2125,C,Male,Manager,,40-386-5286,1 to 4,$1-2.5 Million,(617) 379-3616,481207,Cellular Telephones (Services),481207,Cellular Telephones (Services),Closed/Out of Business
Boost Mobile,Tommy,Fields,1622 Blue Hill Ave,Mattapan,MA,2126,C+,Male,Manager,,71-468-5153,1 to 4,$2.5-5 Million,(617) 296-8500,481207,Cellular Telephones (Services),481207,Cellular Telephones (Services),Closed/Out of Business
Borders Express,Pat,Pabouet,500 Terminal E,East Boston,MA,2128,A,Male,Site Manager,,21-913-7478,10 to 19,$2.5-5 Million,(617) 569-0330,594201,Book Dealers-Retail,594201,Book Dealers-Retail,Closed/Out of Business
Borinquen Bakery & Cafe,,,112 Stoughton St,Dorchester,MA,2125,A,,,,40-351-2524,5 to 9,"$500,000-1 Million",(617) 282-2500,581208,Restaurants,581208,Restaurants,Closed/Out of Business
Boston Checkcashers Inc,,,214 Bowdoin St,Dorchester,MA,2122,B,,,6172656855,85-360-8792,1 to 4,$1-2.5 Million,(617) 265-6698,609903,Check Cashing Service,609903,Check Cashing Service,Closed/Out of Business
Boston Disposal Svc Co,,,84 Tenean St,Dorchester,MA,2122,A,,,,90-120-6300,1 to 4,"$500,000-1 Million",(617) 464-3000,179502,Demolition Contractors,179502,Demolition Contractors,Closed/Out of Business
Boston Food Concepts Lic,,,100 Terminal A,East Boston,MA,2128,B+,,,,70-827-3358,5 to 9,"$500,000-1 Million",(617) 561-0329,581208,Restaurants,581208,Restaurants,Closed/Out of Business
Boston Health Net,Loretta Y,Chou,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,36-147-6781,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Rodrigo,Crespo,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,36-151-4805,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Irene M,Crofton,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,36-151-5943,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Jan G,Dohlman,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,36-157-0161,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Kathryn R,Ellis,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,36-160-1958,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,G Anne,Guenzel,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,36-173-2498,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Mirjana G,Kostich,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,36-193-0290,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Susan D,Lo,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,36-200-3329,1 to 4,"$500,000-1 Million",(617) 569-5800,802101,Dentists,802101,Dentists,Closed/Out of Business
Boston Health Net,Ma J,Lomotan,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,36-200-6447,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Clay,Miller,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,36-210-1024,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Vicki,Rieder,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,36-231-3355,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Naeem,Sajjad,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,36-235-6719,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Lisa Marie,Scarfo,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,36-237-5305,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Catherine,Silva,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,36-242-8070,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Thomas J,Silva,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,36-242-8351,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Stephen J,Simon,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,36-243-1579,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Ewa B,Smoczkiewicz,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,36-245-0413,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Sabine E,Stehle,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,36-247-2979,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,James O,Taylor,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,36-251-1495,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Emily M,Wu,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,36-264-1839,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Kit,Chan,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,40-264-7755,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Richard M,Glatz,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,40-265-0375,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Regine,Tillmanns,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,40-266-0787,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Elizabeth,Gaskins,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,40-266-5190,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Juan A,Huanuco Perez,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,40-325-7404,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Laura E,Lemont,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,40-325-8517,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
